date,price,open,high,low,total_volume,market_cap,coin_id,symbol
2026-01-23,127.36157989501953,128.28851318359375,129.72862243652344,125.3766098022461,3766000022,479643712686.5983,solana,SOL
2026-01-24,127.05381774902344,127.363037109375,127.90245056152344,126.56280517578125,1620566908,205899212579.13043,solana,SOL
2026-01-25,118.77285766601562,127.05250549316406,127.22686004638672,117.57979583740234,5349293195,635350839263.521,solana,SOL
2026-01-26,124.13972473144531,118.77265167236328,125.06038665771484,118.6618423461914,4273720547,530538492283.7019,solana,SOL
2026-01-27,127.05479431152344,124.13898468017578,127.62338256835938,123.04519653320312,3683537052,468011042480.7354,solana,SOL
2026-01-28,125.11844635009766,127.0533218383789,127.9662857055664,124.89337921142578,3544660044,443502357544.5488,solana,SOL
2026-01-29,117.60576629638672,125.11925506591797,125.18667602539062,115.41664123535156,6044075471,710818127320.1495,solana,SOL
2026-01-30,117.363037109375,117.60324096679688,118.86773681640625,112.96723175048828,6818716389,800265264600.5105,solana,SOL
2026-01-31,105.441650390625,117.36463165283203,118.61029052734375,99.98045349121094,9542017060,1006126026861.8994,solana,SOL
2026-02-01,100.85052490234375,105.44039916992188,106.20301818847656,98.52946472167969,5440089988,548635930805.7849,solana,SOL
2026-02-02,104.47115325927734,100.8449478149414,105.69131469726562,96.42904663085938,6949524331,726024821462.9779,solana,SOL
2026-02-03,97.56390380859375,104.47044372558594,104.91223907470703,96.8131332397461,5824450887,568256166077.1465,solana,SOL
2026-02-04,92.02930450439453,97.56403350830078,99.45185852050781,89.66161346435547,7163239530,659227951944.286,solana,SOL
2026-02-05,78.18741607666016,92.02930450439453,92.90266418457031,77.77494049072266,10561367080,825766002222.3013,solana,SOL
2026-02-06,87.46477508544922,78.18553161621094,89.50743865966797,68.69181823730469,11668451362,1020578473972.8336,solana,SOL
2026-02-07,87.63983154296875,87.4673080444336,89.0591812133789,84.32820892333984,5200795827,455796870167.65485,solana,SOL
2026-02-08,87.04410552978516,87.63983154296875,88.67376708984375,85.87124633789062,3068974562,267136145642.95416,solana,SOL
2026-02-09,86.7017822265625,87.04224395751953,88.4691162109375,82.9388427734375,4074999909,353309754683.38,solana,SOL
2026-02-10,82.91548156738281,86.70360565185547,87.34439086914062,81.989990234375,2879051689,238717957250.82184,solana,SOL
2026-02-11,79.2542495727539,82.91615295410156,84.22687530517578,78.39973449707031,4305057649,341194113338.9392,solana,SOL
2026-02-12,80.7081527709961,79.24695587158203,80.84852600097656,79.24695587158203,4026974720,325009690906.6992,solana,SOL
